model,hour,mean_abs_error,mean_error,rmse
OLS,0,204.44263324194426,103.16426086496176,291.5184163077328
OLS,1,203.80489717708963,110.76439216604689,282.31948550753555
OLS,2,202.1103704484656,114.96902947042226,278.1018858068623
OLS,3,202.4119605429173,116.70725424479454,276.136681034336
OLS,4,203.61883387199177,120.05778033706045,276.4689748286352
OLS,5,221.5540569691013,124.4758283109279,298.736432511769
OLS,6,253.8692353406656,128.48530812652572,350.6861442483334
OLS,7,273.5989563524527,122.74165152718915,394.75199366819874
OLS,8,263.7197439607212,112.80480070021619,398.02574680408156
OLS,9,247.8582859672909,106.13231710921262,387.1919162504235
OLS,10,250.26368704901407,104.53921386815459,400.9604582560957
OLS,11,251.28973818231466,103.83290609454261,415.9187651702894
Neural Network,12,235.86054899997387,134.4548618295053,416.19687906033516
Neural Network,13,258.60150189773844,133.91208698571268,462.8242906467037
Neural Network,14,276.11118856195003,130.362059759964,502.04147580818034
Neural Network,15,285.091308571089,126.48683566439081,524.708142287464
Neural Network,16,293.0373925297288,126.22694129907718,540.4272979539444
Neural Network,17,291.8669722154814,123.70274007184345,541.144546034083
Neural Network,18,283.1785525866629,119.14556709360488,524.3372613663063
Neural Network,19,262.6524866010505,114.90508789266873,484.9650778181274
Neural Network,20,243.06770437409327,116.0469705065951,438.79655000489703
Neural Network,21,222.89514672558818,106.82131617816889,392.5866302790218
Neural Network,22,201.31551541980298,95.39746052315584,350.6144129715003
Neural Network,23,192.54153835990613,97.18075318635628,322.7308397255873
Neural Network,0,170.76283486376641,81.04843622647452,272.09788376854976
Neural Network,1,168.91358262550884,85.65640374306906,261.4687325774402
Neural Network,2,167.57895281399684,90.1911549321431,255.93311859228916
Neural Network,3,169.1046773434625,94.36243562564783,254.18639340333436
Neural Network,4,170.31815543941804,99.0535549388507,256.19509313023235
Neural Network,5,184.11550473161017,109.63507152870518,274.15371676210486
Neural Network,6,215.43480655603702,128.94956822855409,312.2200165357472
Neural Network,7,228.47898297150755,136.66048204849776,336.2363022995669
Neural Network,8,217.82930487642827,135.79432764892886,335.0773111782536
Neural Network,9,208.0208132671231,134.34702098384875,332.94824160156514
Neural Network,10,215.56862425523877,135.8989184424535,355.1931905251298
Neural Network,11,223.53923270797762,135.07786934751476,382.81677115885907
Neural Network + Weather,12,268.160345807541,139.99187192410542,439.65966988873527
Neural Network + Weather,13,296.09572156009955,150.0978947569977,488.03909883659765
Neural Network + Weather,14,318.0425476061314,153.82317439666735,535.8705004077588
Neural Network + Weather,15,329.3902923912922,155.27231710888313,561.9643258619172
Neural Network + Weather,16,335.51273976390155,154.96039178549185,578.2679707191354
Neural Network + Weather,17,331.0835032894864,145.9816462522684,570.1321786928655
Neural Network + Weather,18,315.8955654648931,131.67075495362647,543.9935219376084
Neural Network + Weather,19,293.4492499939895,126.22741921001357,504.26852125796364
Neural Network + Weather,20,276.57149941182536,129.07133997310206,465.2422459954812
Neural Network + Weather,21,255.53422405931872,117.34108284740958,422.9817685213096
Neural Network + Weather,22,237.6466438887468,110.11899478672647,390.14545416340144
Neural Network + Weather,23,227.41256196196346,118.22611014871596,368.3256302906161
Neural Network + Weather,0,174.95566285406687,51.16985421291592,280.87282632811764
Neural Network + Weather,1,174.19768114637642,61.30715919577425,273.0462335615623
Neural Network + Weather,2,171.53538194711993,65.61979970712696,266.74384752658625
Neural Network + Weather,3,174.46301029322603,64.01947314191867,266.2114233127665
Neural Network + Weather,4,177.52311200816973,65.91919619126956,270.38817498182755
Neural Network + Weather,5,196.06924967194973,73.21855911166365,293.6484930520917
Neural Network + Weather,6,222.40958560449724,85.62945061677695,331.87758105775873
Neural Network + Weather,7,235.97606575043991,86.21765095689955,350.4293454719312
Neural Network + Weather,8,224.0243942002037,83.65417667686204,345.9785576384165
Neural Network + Weather,9,217.82676994176455,86.02450344880533,344.9332483346795
Neural Network + Weather,10,232.34459967498833,100.1271257527687,370.02828094693695
Neural Network + Weather,11,246.0437245284128,117.70556118162266,398.57217769313854
Ridge,12,264.39628435007126,104.70909171877112,436.713596995075
Ridge,13,281.5164133093227,105.8153194151975,472.70974890075763
Ridge,14,295.2139414085076,105.41988262573584,507.65648134701183
Ridge,15,301.7656510899051,105.85353934376384,523.107044394099
Ridge,16,305.8265830332301,109.28325597499399,531.331587503069
Ridge,17,303.0554119552038,110.35533004779629,527.1935119578743
Ridge,18,292.100709380605,109.96894605606948,508.9577695219093
Ridge,19,273.16847123309213,111.19604155087144,469.13096051576116
Ridge,20,253.4011946498668,117.34411523780416,421.46959794415955
Ridge,21,233.98106745788212,111.4947534091428,375.8713044066615
Ridge,22,213.6527503885385,103.41270571695745,332.6694401289149
Ridge,23,206.7656762832741,107.05501533294223,301.97343817562023
Ridge,0,204.4435294428281,103.16550814797533,291.52100660156384
Ridge,1,203.80423822601813,110.76227074658098,282.3197513634606
Ridge,2,202.10951722247077,114.96578902075863,278.10120618818087
Ridge,3,202.41080945518564,116.70367576681019,276.13559160690136
Ridge,4,203.61698713703984,120.05266343576733,276.4666501105068
Ridge,5,221.5500626021414,124.46738416912548,298.7310827109225
Ridge,6,253.86351577855396,128.4734629068818,350.67831981676017
Ridge,7,273.59558819229704,122.73523906514527,394.7466492579893
Ridge,8,263.7202637376958,112.80594778355025,398.0249570767975
Ridge,9,247.86063841518282,106.13811493974403,387.1937793421921
Ridge,10,250.26647805595127,104.54626524435469,400.96263068237
Ridge,11,251.29309264840384,103.84042299461981,415.9214119570329
Lasso,12,265.82977243760286,106.24900204652576,437.5025718258649
Lasso,13,282.59523392529104,105.80446373609594,472.842238322035
Lasso,14,296.0045747554479,104.48867744398433,507.92307146116093
Lasso,15,302.3734367850544,103.22757633409937,523.617420541072
Lasso,16,305.32177015281553,103.33261931781266,531.3878005715724
Lasso,17,302.10061550609214,101.96207607443361,527.0505258805106
Lasso,18,290.31188794067776,100.86519511640911,508.32760362483464
Lasso,19,270.673079419665,101.35689386287032,468.275418086472
Lasso,20,249.20293739273006,104.95560145626676,419.12013965176004
Lasso,21,229.97315157204565,101.67763908368154,373.8317270056577
Lasso,22,212.28534319598123,100.16337206247519,333.14429893359295
Lasso,23,205.84788985320534,105.29796222921263,302.8094083976149
Lasso,0,204.15023263769564,101.20043814808818,292.16409127407417
Lasso,1,202.33532628854417,106.50665446526978,281.1276041314212
Lasso,2,200.30817283964433,109.95449495001718,276.0798850104761
Lasso,3,200.38725644937733,111.46900878787399,273.75927387061415
Lasso,4,201.12138452057604,113.7319530763116,273.1875841378796
Lasso,5,217.64925885776466,115.77808575472564,293.5298101271315
Lasso,6,248.86409722110176,117.3136643409636,344.1375935644992
Lasso,7,270.5364762015337,115.24143643233172,390.0515165121996
Lasso,8,263.061152829297,110.52007406068722,396.51387939709144
Lasso,9,248.4782856870947,107.0885048048506,387.54059695558334
Lasso,10,251.24076375303923,106.39473787744038,401.6248322131518
Lasso,11,252.9240046271058,106.04822662414244,416.9844588953624
